classes,Recall,F1-score,Precision,F1_score
AKIEDC,0.58,0.63,0.69,
BCC,0.81,0.81,0.82,
BKL,0.72,0.74,0.77,
DF,0.68,0.77,0.88,
MEL,0.64,0.62,0.61,
NV,0.91,0.89,0.88,
VASC,0.77,0.79,0.82,
Accuracy,0.82,,,
Specificity,0.82,,,
